Subway Line,Station Name,Latitude,Longitude
2,을지로입구,37.565998,126.982569
2,을지로3가,37.566292,126.991773
2,을지로4가,37.566611,126.998122
2,동대문역사문화공원,37.565597,127.009113
2,신당,37.565681,127.019488
2,상왕십리,37.564504,127.028872
2,왕십리,37.561159,127.035505
2,한양대,37.55658,127.043504
2,뚝섬,37.54718,127.047413
2,성수,37.544628,127.055983
2,건대입구,37.540408,127.069231
2,구의,37.536857,127.085024
2,강변,37.535161,127.094684
2,잠실나루,37.520688,127.103836
2,잠실,37.513305,127.100129
2,잠실새내,37.520731,127.103738
2,종합운동장,37.511008,127.073641
2,삼성,37.508827,127.063203
2,선릉,37.504257,127.048174
2,역삼,37.500658,127.03643
2,강남,37.497958,127.027539
2,교대,37.493957,127.014631
2,서초,37.49191,127.007945
2,방배,37.481469,126.997627
2,사당,37.476536,126.981631
2,낙성대,37.47693,126.963783
2,서울대입구,37.481233,126.952745
2,봉천,37.482416,126.941896
2,신림,37.484216,126.929573
2,신대방,37.487534,126.913279
2,구로디지털단지,37.485005,126.902626
2,대림,37.492426,126.895293
2,신도림,37.508815,126.891222
2,문래,37.517993,126.894766
2,영등포구청,37.525766,126.896627
2,당산,37.533877,126.902011
2,합정,37.550025,126.914557
2,홍대입구,37.556748,126.923643
2,신촌,37.555153,126.93689
2,이대,37.556734,126.945897
2,아현,37.557407,126.956079
2,충정로,37.559742,126.964455
2,시청,37.563534,126.975271
2,신설동,37.574653,127.025158
2,용두,37.574012,127.03811
2,신답,37.56147,127.056348
2,용답,37.566412,126.977863
2,도림천,37.514759,126.882586
2,양천구청,37.512194,126.865193
2,신정네거리,37.520218,126.852849
2,까치산,37.53181,126.846706
